sim_time,junction_id,current_phase,phase_duration_total,phase_duration_remaining,max_queue_length,avg_queue_length,max_waiting_time,green_lane_count,empty_green_lane_count,max_seconds_since_green,approach_count,label
5.0,1294004372,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,starvation
5.0,1396454306,0,60.0,37.0,0,0.0,0.0,1,1,0.0,2,green_waste
5.0,20447270,0,45.0,37.0,0,0.0,0.0,2,2,0.0,4,demand_imbalance
5.0,2365997447,0,82.0,77.0,0,0.0,0.0,1,1,0.0,1,normal
5.0,26867633,0,42.0,37.0,0,0.0,0.0,2,2,0.0,3,normal
5.0,26867646,0,82.0,77.0,0,0.0,0.0,3,3,0.0,3,normal
5.0,2892088923,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,3451922932,0,42.0,37.0,0,0.0,0.0,1,1,0.0,3,normal
5.0,3451922950,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,3594514234,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,3621526490,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,5029099782,0,42.0,37.0,0,0.0,0.0,1,1,0.0,1,normal
5.0,511114288,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,5300228178,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,5300250107,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,5300250108,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,5301488751,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,659815,0,42.0,37.0,0,0.0,0.0,3,3,0.0,4,normal
5.0,710547269,0,24.0,19.0,0,0.0,0.0,4,4,0.0,7,normal
5.0,cluster_1277707259_1415538921_668804488,0,42.0,37.0,0,0.0,0.0,2,2,0.0,4,normal
5.0,cluster_1294004359_1294004382,0,42.0,37.0,0,0.0,0.0,3,3,0.0,3,normal
5.0,cluster_20299832_527734964_537784305,0,38.0,33.0,0,0.0,0.0,1,1,0.0,2,normal
5.0,cluster_2418681455_3772654578,0,82.0,77.0,0,0.0,0.0,1,1,0.0,1,normal
5.0,cluster_3260618602_389365,0,42.0,37.0,0,0.0,0.0,2,2,0.0,3,normal
5.0,cluster_336173796_389292,0,38.0,33.0,0,0.0,0.0,4,4,0.0,8,normal
5.0,cluster_3451922931_3621526491_5301585467_5301585472,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,cluster_389364_5403869166,0,82.0,77.0,0,0.0,0.0,3,3,0.0,3,normal
5.0,cluster_5300250112_5301488754,0,42.0,37.0,0,0.0,0.0,2,2,0.0,3,normal
10.0,1294004372,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,starvation
10.0,1396454306,0,60.0,32.0,0,0.0,0.0,1,1,0.0,2,green_waste
10.0,20447270,0,45.0,32.0,0,0.0,0.0,2,2,0.0,4,demand_imbalance
10.0,2365997447,0,82.0,72.0,0,0.0,0.0,1,1,0.0,1,normal
10.0,26867633,0,42.0,32.0,1,0.33,3.0,2,2,0.0,3,normal
10.0,26867646,0,82.0,72.0,0,0.0,0.0,3,3,0.0,3,normal
10.0,2892088923,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,3451922932,0,42.0,32.0,0,0.0,0.0,1,1,0.0,3,normal
10.0,3451922950,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,3594514234,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,3621526490,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,5029099782,0,42.0,32.0,0,0.0,0.0,1,1,0.0,1,normal
10.0,511114288,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,5300228178,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,5300250107,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,5300250108,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,5301488751,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,659815,0,42.0,32.0,0,0.0,0.0,3,3,0.0,4,normal
10.0,710547269,0,24.0,14.0,0,0.0,0.0,4,4,0.0,7,normal
10.0,cluster_1277707259_1415538921_668804488,0,42.0,32.0,0,0.0,0.0,2,2,0.0,4,normal
10.0,cluster_1294004359_1294004382,0,42.0,32.0,0,0.0,0.0,3,3,0.0,3,normal
10.0,cluster_20299832_527734964_537784305,0,38.0,28.0,0,0.0,0.0,1,1,0.0,2,normal
10.0,cluster_2418681455_3772654578,0,82.0,72.0,0,0.0,0.0,1,1,0.0,1,normal
10.0,cluster_3260618602_389365,0,42.0,32.0,0,0.0,0.0,2,2,0.0,3,normal
10.0,cluster_336173796_389292,0,38.0,28.0,1,0.12,1.0,4,4,0.0,8,normal
10.0,cluster_3451922931_3621526491_5301585467_5301585472,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,cluster_389364_5403869166,0,82.0,72.0,0,0.0,0.0,3,3,0.0,3,normal
10.0,cluster_5300250112_5301488754,0,42.0,32.0,0,0.0,0.0,2,2,0.0,3,normal
15.0,1294004372,0,82.0,67.0,0,0.0,0.0,2,2,0.0,2,starvation
15.0,1396454306,0,60.0,27.0,0,0.0,0.0,1,1,0.0,2,green_waste
15.0,20447270,0,45.0,27.0,0,0.0,0.0,2,2,0.0,4,demand_imbalance
15.0,2365997447,0,82.0,67.0,0,0.0,0.0,1,1,0.0,1,normal
15.0,26867633,0,42.0,27.0,1,0.33,8.0,2,2,0.0,3,normal
15.0,26867646,0,82.0,67.0,0,0.0,0.0,3,3,0.0,3,normal
15.0,2892088923,0,82.0,67.0,0,0.0,0.0,2,2,0.0,2,normal
15.0,3451922932,0,42.0,27.0,0,0.0,0.0,1,1,0.0,3,normal
15.0,3451922950,0,82.0,67.0,0,0.0,0.0,2,2,0.0,2,normal
15.0,3594514234,0,82.0,67.0,0,0.0,0.0,2,2,0.0,2,normal
15.0,3621526490,0,82.0,67.0,0,0.0,0.0,2,2,0.0,2,normal
15.0,5029099782,0,42.0,27.0,0,0.0,0.0,1,1,0.0,1,normal
15.0,511114288,0,82.0,67.0,0,0.0,0.0,2,2,0.0,2,normal
15.0,5300228178,0,82.0,67.0,0,0.0,0.0,2,2,0.0,2,normal
15.0,5300250107,0,82.0,67.0,0,0.0,0.0,2,2,0.0,2,normal
15.0,5300250108,0,82.0,67.0,0,0.0,0.0,2,2,0.0,2,normal
15.0,5301488751,0,82.0,67.0,0,0.0,0.0,2,2,0.0,2,normal
15.0,659815,0,42.0,27.0,0,0.0,0.0,3,3,0.0,4,normal
15.0,710547269,0,24.0,9.0,0,0.0,0.0,4,4,0.0,7,normal
15.0,cluster_1277707259_1415538921_668804488,0,42.0,27.0,0,0.0,0.0,2,2,0.0,4,normal
15.0,cluster_1294004359_1294004382,0,42.0,27.0,0,0.0,0.0,3,3,0.0,3,normal
15.0,cluster_20299832_527734964_537784305,0,38.0,23.0,0,0.0,0.0,1,1,0.0,2,normal
15.0,cluster_2418681455_3772654578,0,82.0,67.0,0,0.0,0.0,1,1,0.0,1,normal
15.0,cluster_3260618602_389365,0,42.0,27.0,0,0.0,0.0,2,2,0.0,3,normal
15.0,cluster_336173796_389292,0,38.0,23.0,1,0.12,6.0,4,4,0.0,8,normal
15.0,cluster_3451922931_3621526491_5301585467_5301585472,0,82.0,67.0,0,0.0,0.0,2,2,0.0,2,normal
15.0,cluster_389364_5403869166,0,82.0,67.0,0,0.0,0.0,3,3,0.0,3,normal
15.0,cluster_5300250112_5301488754,0,42.0,27.0,0,0.0,0.0,2,2,0.0,3,normal
20.0,1294004372,0,82.0,62.0,0,0.0,0.0,2,2,0.0,2,starvation
20.0,1396454306,0,60.0,22.0,0,0.0,0.0,1,1,0.0,2,green_waste
20.0,20447270,0,45.0,22.0,0,0.0,0.0,2,2,0.0,4,demand_imbalance
20.0,2365997447,0,82.0,62.0,0,0.0,0.0,1,1,0.0,1,normal
20.0,26867633,0,42.0,22.0,1,0.33,13.0,2,2,0.0,3,normal
20.0,26867646,0,82.0,62.0,0,0.0,0.0,3,3,0.0,3,normal
20.0,2892088923,0,82.0,62.0,0,0.0,0.0,2,2,0.0,2,normal
20.0,3451922932,0,42.0,22.0,0,0.0,0.0,1,1,0.0,3,normal
20.0,3451922950,0,82.0,62.0,0,0.0,0.0,2,2,0.0,2,normal
20.0,3594514234,0,82.0,62.0,0,0.0,0.0,2,2,0.0,2,normal
20.0,3621526490,0,82.0,62.0,0,0.0,0.0,2,2,0.0,2,normal
20.0,5029099782,0,42.0,22.0,0,0.0,0.0,1,1,0.0,1,normal
20.0,511114288,0,82.0,62.0,0,0.0,0.0,2,2,0.0,2,normal
20.0,5300228178,0,82.0,62.0,0,0.0,0.0,2,2,0.0,2,normal
20.0,5300250107,0,82.0,62.0,0,0.0,0.0,2,2,0.0,2,normal
20.0,5300250108,0,82.0,62.0,0,0.0,0.0,2,2,0.0,2,normal
20.0,5301488751,0,82.0,62.0,0,0.0,0.0,2,2,0.0,2,normal
20.0,659815,0,42.0,22.0,0,0.0,0.0,3,3,0.0,4,normal
20.0,710547269,0,24.0,4.0,0,0.0,0.0,4,4,0.0,7,normal
20.0,cluster_1277707259_1415538921_668804488,0,42.0,22.0,0,0.0,0.0,2,2,0.0,4,normal
20.0,cluster_1294004359_1294004382,0,42.0,22.0,0,0.0,0.0,3,3,0.0,3,normal
20.0,cluster_20299832_527734964_537784305,0,38.0,18.0,0,0.0,0.0,1,1,0.0,2,normal
20.0,cluster_2418681455_3772654578,0,82.0,62.0,0,0.0,0.0,1,1,0.0,1,normal
20.0,cluster_3260618602_389365,0,42.0,22.0,0,0.0,0.0,2,2,0.0,3,normal
20.0,cluster_336173796_389292,0,38.0,18.0,1,0.12,11.0,4,4,0.0,8,normal
20.0,cluster_3451922931_3621526491_5301585467_5301585472,0,82.0,62.0,0,0.0,0.0,2,2,0.0,2,normal
20.0,cluster_389364_5403869166,0,82.0,62.0,0,0.0,0.0,3,3,0.0,3,normal
20.0,cluster_5300250112_5301488754,0,42.0,22.0,0,0.0,0.0,2,2,0.0,3,normal
25.0,1294004372,0,82.0,57.0,0,0.0,0.0,2,2,0.0,2,starvation
25.0,1396454306,0,60.0,17.0,0,0.0,0.0,1,1,0.0,2,green_waste
25.0,20447270,0,45.0,17.0,0,0.0,0.0,2,2,0.0,4,demand_imbalance
25.0,2365997447,0,82.0,57.0,0,0.0,0.0,1,1,0.0,1,normal
25.0,26867633,0,42.0,17.0,1,0.33,18.0,2,2,0.0,3,normal
25.0,26867646,0,82.0,57.0,0,0.0,0.0,3,3,0.0,3,normal
25.0,2892088923,0,82.0,57.0,0,0.0,0.0,2,2,0.0,2,normal
25.0,3451922932,0,42.0,17.0,0,0.0,0.0,1,1,0.0,3,normal
25.0,3451922950,0,82.0,57.0,0,0.0,0.0,2,2,0.0,2,normal
25.0,3594514234,0,82.0,57.0,0,0.0,0.0,2,2,0.0,2,normal
25.0,3621526490,0,82.0,57.0,0,0.0,0.0,2,2,0.0,2,normal
25.0,5029099782,0,42.0,17.0,0,0.0,0.0,1,1,0.0,1,normal
25.0,511114288,0,82.0,57.0,0,0.0,0.0,2,2,0.0,2,normal
25.0,5300228178,0,82.0,57.0,0,0.0,0.0,2,2,0.0,2,normal
25.0,5300250107,0,82.0,57.0,0,0.0,0.0,2,2,0.0,2,normal
25.0,5300250108,0,82.0,57.0,0,0.0,0.0,2,2,0.0,2,normal
25.0,5301488751,0,82.0,57.0,0,0.0,0.0,2,2,0.0,2,normal
25.0,659815,0,42.0,17.0,0,0.0,0.0,3,3,0.0,4,normal
25.0,710547269,1,3.0,2.0,0,0.0,0.0,0,0,5.0,7,normal
25.0,cluster_1277707259_1415538921_668804488,0,42.0,17.0,0,0.0,0.0,2,2,0.0,4,normal
25.0,cluster_1294004359_1294004382,0,42.0,17.0,0,0.0,0.0,3,3,0.0,3,normal
25.0,cluster_20299832_527734964_537784305,0,38.0,13.0,0,0.0,0.0,1,1,0.0,2,normal
25.0,cluster_2418681455_3772654578,0,82.0,57.0,0,0.0,0.0,1,1,0.0,1,normal
25.0,cluster_3260618602_389365,0,42.0,17.0,0,0.0,0.0,2,2,0.0,3,normal
25.0,cluster_336173796_389292,0,38.0,13.0,1,0.12,16.0,4,4,0.0,8,normal
25.0,cluster_3451922931_3621526491_5301585467_5301585472,0,82.0,57.0,0,0.0,0.0,2,2,0.0,2,normal
25.0,cluster_389364_5403869166,0,82.0,57.0,0,0.0,0.0,3,3,0.0,3,normal
25.0,cluster_5300250112_5301488754,0,42.0,17.0,0,0.0,0.0,2,2,0.0,3,normal
30.0,1294004372,0,82.0,52.0,0,0.0,0.0,2,2,0.0,2,starvation
30.0,1396454306,0,60.0,12.0,0,0.0,0.0,1,1,0.0,2,green_waste
30.0,20447270,0,45.0,12.0,0,0.0,0.0,2,2,0.0,4,demand_imbalance
30.0,2365997447,0,82.0,52.0,0,0.0,0.0,1,1,0.0,1,normal
30.0,26867633,0,42.0,12.0,2,0.67,26.0,2,2,0.0,3,normal
30.0,26867646,0,82.0,52.0,0,0.0,0.0,3,3,0.0,3,normal
30.0,2892088923,0,82.0,52.0,0,0.0,0.0,2,2,0.0,2,normal
30.0,3451922932,0,42.0,12.0,0,0.0,0.0,1,1,0.0,3,normal
30.0,3451922950,0,82.0,52.0,0,0.0,0.0,2,2,0.0,2,normal
30.0,3594514234,0,82.0,52.0,0,0.0,0.0,2,2,0.0,2,normal
30.0,3621526490,0,82.0,52.0,0,0.0,0.0,2,2,0.0,2,normal
30.0,5029099782,0,42.0,12.0,0,0.0,0.0,1,1,0.0,1,normal
30.0,511114288,0,82.0,52.0,0,0.0,0.0,2,2,0.0,2,normal
30.0,5300228178,0,82.0,52.0,0,0.0,0.0,2,2,0.0,2,normal
30.0,5300250107,0,82.0,52.0,0,0.0,0.0,2,2,0.0,2,normal
30.0,5300250108,0,82.0,52.0,0,0.0,0.0,2,2,0.0,2,normal
30.0,5301488751,0,82.0,52.0,0,0.0,0.0,2,2,0.0,2,normal
30.0,659815,0,42.0,12.0,0,0.0,0.0,3,3,0.0,4,normal
30.0,710547269,2,24.0,21.0,0,0.0,0.0,4,4,10.0,7,normal
30.0,cluster_1277707259_1415538921_668804488,0,42.0,12.0,0,0.0,0.0,2,2,0.0,4,normal
30.0,cluster_1294004359_1294004382,0,42.0,12.0,0,0.0,0.0,3,3,0.0,3,normal
30.0,cluster_20299832_527734964_537784305,0,38.0,8.0,0,0.0,0.0,1,1,0.0,2,normal
30.0,cluster_2418681455_3772654578,0,82.0,52.0,0,0.0,0.0,1,1,0.0,1,normal
30.0,cluster_3260618602_389365,0,42.0,12.0,0,0.0,0.0,2,2,0.0,3,normal
30.0,cluster_336173796_389292,0,38.0,8.0,1,0.12,21.0,4,4,0.0,8,normal
30.0,cluster_3451922931_3621526491_5301585467_5301585472,0,82.0,52.0,0,0.0,0.0,2,2,0.0,2,normal
30.0,cluster_389364_5403869166,0,82.0,52.0,0,0.0,0.0,3,3,0.0,3,normal
30.0,cluster_5300250112_5301488754,0,42.0,12.0,0,0.0,0.0,2,2,0.0,3,normal
35.0,1294004372,0,82.0,47.0,0,0.0,0.0,2,2,0.0,2,starvation
35.0,1396454306,0,60.0,7.0,0,0.0,0.0,1,1,0.0,2,green_waste
35.0,20447270,0,45.0,7.0,0,0.0,0.0,2,2,0.0,4,demand_imbalance
35.0,2365997447,0,82.0,47.0,0,0.0,0.0,1,1,0.0,1,normal
35.0,26867633,0,42.0,7.0,2,0.67,36.0,2,2,0.0,3,normal
35.0,26867646,0,82.0,47.0,0,0.0,0.0,3,3,0.0,3,normal
35.0,2892088923,0,82.0,47.0,0,0.0,0.0,2,2,0.0,2,normal
35.0,3451922932,0,42.0,7.0,0,0.0,0.0,1,1,0.0,3,normal
35.0,3451922950,0,82.0,47.0,0,0.0,0.0,2,2,0.0,2,normal
35.0,3594514234,0,82.0,47.0,0,0.0,0.0,2,2,0.0,2,normal
35.0,3621526490,0,82.0,47.0,0,0.0,0.0,2,2,0.0,2,normal
35.0,5029099782,0,42.0,7.0,0,0.0,0.0,1,1,0.0,1,normal
35.0,511114288,0,82.0,47.0,0,0.0,0.0,2,2,0.0,2,normal
35.0,5300228178,0,82.0,47.0,0,0.0,0.0,2,2,0.0,2,normal
35.0,5300250107,0,82.0,47.0,0,0.0,0.0,2,2,0.0,2,normal
35.0,5300250108,0,82.0,47.0,0,0.0,0.0,2,2,0.0,2,normal
35.0,5301488751,0,82.0,47.0,0,0.0,0.0,2,2,0.0,2,normal
35.0,659815,0,42.0,7.0,1,0.25,2.0,3,3,0.0,4,normal
35.0,710547269,2,24.0,16.0,0,0.0,0.0,4,4,15.0,7,normal
35.0,cluster_1277707259_1415538921_668804488,0,42.0,7.0,0,0.0,0.0,2,2,0.0,4,normal
35.0,cluster_1294004359_1294004382,0,42.0,7.0,0,0.0,0.0,3,3,0.0,3,normal
35.0,cluster_20299832_527734964_537784305,0,38.0,3.0,0,0.0,0.0,1,1,0.0,2,normal
35.0,cluster_2418681455_3772654578,0,82.0,47.0,0,0.0,0.0,1,1,0.0,1,normal
35.0,cluster_3260618602_389365,0,42.0,7.0,0,0.0,0.0,2,2,0.0,3,normal
35.0,cluster_336173796_389292,0,38.0,3.0,1,0.12,26.0,4,4,0.0,8,normal
35.0,cluster_3451922931_3621526491_5301585467_5301585472,0,82.0,47.0,0,0.0,0.0,2,2,0.0,2,normal
35.0,cluster_389364_5403869166,0,82.0,47.0,0,0.0,0.0,3,3,0.0,3,normal
35.0,cluster_5300250112_5301488754,0,42.0,7.0,0,0.0,0.0,2,2,0.0,3,normal
40.0,1294004372,0,82.0,42.0,0,0.0,0.0,2,2,0.0,2,starvation
40.0,1396454306,0,60.0,2.0,0,0.0,0.0,1,1,0.0,2,green_waste
40.0,20447270,0,45.0,2.0,1,0.25,4.0,2,2,0.0,4,demand_imbalance
40.0,2365997447,0,82.0,42.0,0,0.0,0.0,1,1,0.0,1,normal
40.0,26867633,0,42.0,2.0,2,0.67,46.0,2,2,0.0,3,normal
40.0,26867646,0,82.0,42.0,0,0.0,0.0,3,3,0.0,3,normal
40.0,2892088923,0,82.0,42.0,0,0.0,0.0,2,2,0.0,2,normal
40.0,3451922932,0,42.0,2.0,0,0.0,0.0,1,1,0.0,3,normal
40.0,3451922950,0,82.0,42.0,0,0.0,0.0,2,2,0.0,2,normal
40.0,3594514234,0,82.0,42.0,0,0.0,0.0,2,2,0.0,2,normal
40.0,3621526490,0,82.0,42.0,0,0.0,0.0,2,2,0.0,2,normal
40.0,5029099782,0,42.0,2.0,0,0.0,0.0,1,1,0.0,1,normal
40.0,511114288,0,82.0,42.0,0,0.0,0.0,2,2,0.0,2,normal
40.0,5300228178,0,82.0,42.0,0,0.0,0.0,2,2,0.0,2,normal
40.0,5300250107,0,82.0,42.0,0,0.0,0.0,2,2,0.0,2,normal
40.0,5300250108,0,82.0,42.0,0,0.0,0.0,2,2,0.0,2,normal
40.0,5301488751,0,82.0,42.0,0,0.0,0.0,2,2,0.0,2,normal
40.0,659815,0,42.0,2.0,1,0.25,7.0,3,3,0.0,4,normal
40.0,710547269,2,24.0,11.0,0,0.0,0.0,4,4,20.0,7,normal
40.0,cluster_1277707259_1415538921_668804488,0,42.0,2.0,0,0.0,0.0,2,2,0.0,4,normal
40.0,cluster_1294004359_1294004382,0,42.0,2.0,0,0.0,0.0,3,3,0.0,3,normal
40.0,cluster_20299832_527734964_537784305,1,3.0,1.0,0,0.0,0.0,0,0,5.0,2,normal
40.0,cluster_2418681455_3772654578,0,82.0,42.0,0,0.0,0.0,1,1,0.0,1,normal
40.0,cluster_3260618602_389365,0,42.0,2.0,0,0.0,0.0,2,2,0.0,3,normal
40.0,cluster_336173796_389292,1,3.0,1.0,1,0.12,31.0,1,1,5.0,8,normal
40.0,cluster_3451922931_3621526491_5301585467_5301585472,0,82.0,42.0,0,0.0,0.0,2,2,0.0,2,normal
40.0,cluster_389364_5403869166,0,82.0,42.0,0,0.0,0.0,3,3,0.0,3,normal
40.0,cluster_5300250112_5301488754,0,42.0,2.0,0,0.0,0.0,2,2,0.0,3,normal
45.0,1294004372,0,82.0,37.0,0,0.0,0.0,2,2,0.0,2,starvation
45.0,1396454306,1,3.0,0.0,0,0.0,0.0,0,0,5.0,2,green_waste
45.0,20447270,1,3.0,0.0,1,0.25,9.0,0,0,5.0,4,demand_imbalance
45.0,2365997447,0,82.0,37.0,0,0.0,0.0,1,1,0.0,1,normal
45.0,26867633,1,3.0,0.0,3,1.0,56.5,0,0,5.0,3,normal
45.0,26867646,0,82.0,37.0,0,0.0,0.0,3,3,0.0,3,normal
45.0,2892088923,0,82.0,37.0,0,0.0,0.0,2,2,0.0,2,normal
45.0,3451922932,1,3.0,0.0,0,0.0,0.0,0,0,5.0,3,normal
45.0,3451922950,0,82.0,37.0,0,0.0,0.0,2,2,0.0,2,normal
45.0,3594514234,0,82.0,37.0,0,0.0,0.0,2,2,0.0,2,normal
45.0,3621526490,0,82.0,37.0,0,0.0,0.0,2,2,0.0,2,normal
45.0,5029099782,1,3.0,0.0,0,0.0,0.0,0,0,5.0,1,normal
45.0,511114288,0,82.0,37.0,0,0.0,0.0,2,2,0.0,2,normal
45.0,5300228178,0,82.0,37.0,0,0.0,0.0,2,2,0.0,2,normal
45.0,5300250107,0,82.0,37.0,0,0.0,0.0,2,2,0.0,2,normal
45.0,5300250108,0,82.0,37.0,0,0.0,0.0,2,2,0.0,2,normal
45.0,5301488751,0,82.0,37.0,0,0.0,0.0,2,2,0.0,2,normal
45.0,659815,1,3.0,0.0,1,0.25,12.0,0,0,5.0,4,normal
45.0,710547269,2,24.0,6.0,0,0.0,0.0,4,4,25.0,7,normal
45.0,cluster_1277707259_1415538921_668804488,1,3.0,0.0,1,0.25,2.5,0,0,5.0,4,normal
45.0,cluster_1294004359_1294004382,1,3.0,0.0,0,0.0,0.0,0,0,5.0,3,normal
45.0,cluster_20299832_527734964_537784305,2,6.0,2.0,0,0.0,0.0,0,0,10.0,2,normal
45.0,cluster_2418681455_3772654578,0,82.0,37.0,0,0.0,0.0,1,1,0.0,1,normal
45.0,cluster_3260618602_389365,1,3.0,0.0,0,0.0,0.0,0,0,5.0,3,normal
45.0,cluster_336173796_389292,2,6.0,2.0,1,0.12,36.0,2,2,10.0,8,normal
45.0,cluster_3451922931_3621526491_5301585467_5301585472,0,82.0,37.0,0,0.0,0.0,2,2,0.0,2,normal
45.0,cluster_389364_5403869166,0,82.0,37.0,0,0.0,0.0,3,3,0.0,3,normal
45.0,cluster_5300250112_5301488754,1,3.0,0.0,0,0.0,0.0,0,0,5.0,3,normal
50.0,1294004372,0,82.0,32.0,0,0.0,0.0,2,2,0.0,2,starvation
50.0,1396454306,2,10.0,5.0,1,0.5,4.0,1,1,10.0,2,green_waste
50.0,20447270,2,15.0,10.0,0,0.0,0.0,2,2,10.0,4,demand_imbalance
50.0,2365997447,0,82.0,32.0,0,0.0,0.0,1,1,0.0,1,normal
50.0,26867633,2,42.0,37.0,1,0.33,5.0,2,2,10.0,3,normal
50.0,26867646,0,82.0,32.0,0,0.0,0.0,3,3,0.0,3,normal
50.0,2892088923,0,82.0,32.0,0,0.0,0.0,2,2,0.0,2,normal
50.0,3451922932,2,42.0,37.0,0,0.0,0.0,2,2,10.0,3,normal
50.0,3451922950,0,82.0,32.0,0,0.0,0.0,2,2,0.0,2,normal
50.0,3594514234,0,82.0,32.0,0,0.0,0.0,2,2,0.0,2,normal
50.0,3621526490,0,82.0,32.0,0,0.0,0.0,2,2,0.0,2,normal
50.0,5029099782,2,42.0,37.0,0,0.0,0.0,0,0,10.0,1,normal
50.0,511114288,0,82.0,32.0,0,0.0,0.0,2,2,0.0,2,normal
50.0,5300228178,0,82.0,32.0,0,0.0,0.0,2,2,0.0,2,normal
50.0,5300250107,0,82.0,32.0,0,0.0,0.0,2,2,0.0,2,normal
50.0,5300250108,0,82.0,32.0,0,0.0,0.0,2,2,0.0,2,normal
50.0,5301488751,0,82.0,32.0,0,0.0,0.0,2,2,0.0,2,normal
50.0,659815,2,42.0,37.0,0,0.0,0.0,1,1,10.0,4,normal
50.0,710547269,2,24.0,1.0,0,0.0,0.0,4,4,30.0,7,normal
50.0,cluster_1277707259_1415538921_668804488,2,42.0,37.0,0,0.0,0.0,2,2,10.0,4,normal
50.0,cluster_1294004359_1294004382,2,42.0,37.0,0,0.0,0.0,3,3,0.0,3,normal
50.0,cluster_20299832_527734964_537784305,3,3.0,0.0,0,0.0,0.0,0,0,15.0,2,normal
50.0,cluster_2418681455_3772654578,0,82.0,32.0,0,0.0,0.0,1,1,0.0,1,normal
50.0,cluster_3260618602_389365,2,42.0,37.0,1,0.33,2.0,2,2,10.0,3,normal
50.0,cluster_336173796_389292,3,3.0,0.0,1,0.12,41.0,0,0,15.0,8,normal
50.0,cluster_3451922931_3621526491_5301585467_5301585472,0,82.0,32.0,0,0.0,0.0,2,2,0.0,2,normal
50.0,cluster_389364_5403869166,0,82.0,32.0,0,0.0,0.0,3,3,0.0,3,normal
50.0,cluster_5300250112_5301488754,2,42.0,37.0,0,0.0,0.0,2,2,10.0,3,normal
55.0,1294004372,0,82.0,27.0,0,0.0,0.0,2,2,0.0,2,starvation
55.0,1396454306,2,10.0,0.0,1,0.5,9.0,1,1,15.0,2,green_waste
